STATEFP,COUNTYFP,TRACT10,PUMA00
26,163,555300,03802
26,163,575000,03802
26,163,574800,03802
26,163,554800,03802
26,163,573400,03802
26,163,574000,03802
26,163,573300,03802
26,163,573500,03802
26,163,554400,03802
26,163,555100,03802
26,163,572800,03802
26,163,574700,03802
26,163,574600,03802
26,163,574900,03802
26,163,554100,03802
26,163,573800,03802
26,163,554500,03802
26,163,555600,03802
26,163,572900,03802
26,163,572400,03802
26,163,571700,03802
26,163,572100,03802
26,163,573600,03802
26,163,572200,03802
26,163,571800,03802
26,163,573000,03802
26,163,575300,03802
26,163,555500,03802
26,163,574100,03802
26,163,575400,03802
26,163,575600,03802
26,163,572000,03802
26,163,572600,03802
26,163,575100,03802
26,163,572700,03802
26,163,571500,03802
26,163,575200,03802
26,163,574202,03802
26,163,554300,03802
26,163,571600,03802
26,163,535700,03705
26,163,535200,03705
26,163,536600,03705
26,163,535500,03705
26,163,535400,03705
26,163,535300,03705
26,163,535000,03705
26,163,534200,03705
26,163,546900,03705
26,163,546700,03705
26,163,546600,03705
26,163,546500,03705
26,163,546000,03705
26,163,545800,03705
26,163,545400,03705
26,163,545200,03705
26,163,546200,03705
26,163,546800,03705
26,163,546400,03705
26,163,546300,03705
26,163,545900,03705
26,163,545700,03705
26,163,545600,03705
26,163,545500,03705
26,163,545100,03705
26,163,534300,03705
26,163,535600,03705
26,163,534400,03705
26,163,537200,03705
26,163,535100,03705
26,163,534700,03705
26,163,545300,03705
26,163,546100,03705
26,163,500100,03703
26,163,504300,03703
26,163,504000,03703
26,163,503900,03703
26,163,503600,03703
26,163,503300,03703
26,163,503500,03703
26,163,503400,03703
26,163,503100,03703
26,163,501200,03703
26,163,501000,03703
26,163,500900,03703
26,163,500600,03703
26,163,500300,03703
26,163,500800,03703
26,163,500500,03703
26,163,504400,03703
26,163,504200,03703
26,163,500200,03703
26,163,504100,03703
26,163,500700,03703
26,163,505200,03703
26,163,501100,03703
26,163,500400,03703
26,163,505400,03703
26,163,503200,03703
26,125,150700,02505
26,125,152700,02505
26,125,152900,02505
26,125,157400,02505
26,125,153300,02505
26,125,154600,02505
26,125,156200,02505
26,125,156300,02505
26,125,158000,02505
26,125,153200,02505
26,125,153100,02505
26,125,152600,02505
26,125,157700,02505
26,125,156900,02505
26,125,150400,02505
26,125,150600,02505
26,125,150200,02505
26,125,150300,02505
26,125,150500,02505
26,125,159000,02505
26,125,158100,02505
26,125,157200,02505
26,125,150000,02505
26,125,150100,02505
26,125,156100,02505
26,125,153000,02505
26,125,157300,02505
26,125,158200,02505
26,125,154100,02505
26,125,157800,02505
26,125,157500,02505
26,125,157900,02505
26,125,157000,02505
26,125,157100,02505
26,125,154000,02505
26,125,156000,02505
26,125,154500,02505
26,125,156500,02505
26,125,157600,02505
26,125,150800,02505
26,125,150900,02505
26,125,151000,02505
26,125,156400,02505
26,125,152000,02505
26,163,550500,03801
26,163,550100,03801
26,163,551100,03801
26,163,550700,03801
26,163,550300,03801
26,163,550200,03801
26,163,552800,03801
26,163,553400,03801
26,163,553300,03801
26,163,553100,03801
26,163,553600,03801
26,163,553200,03801
26,163,552300,03801
26,163,552000,03801
26,163,551600,03801
26,163,551400,03801
26,163,551300,03801
26,163,550600,03801
26,163,552400,03801
26,163,552200,03801
26,163,552100,03801
26,163,551700,03801
26,163,553800,03801
26,163,990100,03801
26,163,550800,03801
26,163,553000,03801
26,163,551500,03801
26,163,551200,03801
26,163,550900,03801
26,163,550400,03801
26,163,551800,03801
26,163,584500,03804
26,163,590400,03804
26,163,583900,03804
26,163,585500,03804
26,163,584700,03804
26,163,584600,03804
26,163,586300,03804
26,163,583200,03804
26,163,590600,03804
26,163,589300,03804
26,163,584800,03804
26,163,583700,03804
26,163,583400,03804
26,163,584300,03804
26,163,585900,03804
26,163,583100,03804
26,163,583800,03804
26,163,584100,03804
